Question,Answer
What is college timing?,College timing is 9 AM to 5 PM
How to apply for admission?,Apply via official website or admission office
Where is library?,Library is in main building first floor
What courses are available?,AI ML CSE ECE Civil Mechanical are available
Is attendance compulsory?,Yes minimum 75% attendance is required
When are exams conducted?,Exams are conducted every semester end
How can I get scholarship?,You can apply through government scholarship portal
Who is HOD of AIML?,Contact AIML department office for updated HOD details
Where is hostel located?,Hostel is inside campus near sports ground
Is WiFi available?,Yes campus WiFi is available for students